Iteration,Inertia Weights,Travel Time,Waiting Time
19,0.8,85.0,33.0
20,0.8,85.0,33.0
21,0.8,85.0,33.0
22,0.8,85.0,31.0
23,0.8,85.0,31.0
24,0.8,85.0,31.0
25,0.8,85.0,31.0
26,0.8,85.0,31.0
27,0.8,73.0,31.0
28,0.8,73.0,31.0
29,0.8,71.0,31.0
30,0.8,71.0,31.0
31,0.8,71.0,31.0
32,0.8,71.0,31.0
33,0.8,71.0,31.0
34,0.8,71.0,31.0
35,0.8,71.0,31.0
36,0.8,71.0,31.0
37,0.8,71.0,31.0
38,0.8,71.0,31.0
39,0.8,71.0,31.0
40,0.8,71.0,31.0
41,0.8,71.0,31.0
42,0.8,71.0,31.0
43,0.8,71.0,31.0
44,0.8,71.0,31.0
45,0.8,71.0,31.0
46,0.8,71.0,31.0
47,0.8,71.0,31.0
48,0.8,71.0,31.0
49,0.8,71.0,31.0
50,0.8,71.0,31.0
51,0.8,71.0,31.0
52,0.8,71.0,31.0
53,0.8,71.0,31.0
54,0.8,71.0,31.0
55,0.8,71.0,31.0
56,0.8,71.0,31.0
57,0.8,71.0,31.0
58,0.8,71.0,31.0
59,0.8,71.0,31.0
60,0.8,71.0,31.0
1,1.0,182.0,31.0
2,1.0,162.0,31.0
3,1.0,133.0,31.0
4,1.0,88.0,31.0
5,1.0,71.0,31.0
6,1.0,71.0,31.0
7,1.0,71.0,31.0
8,1.0,71.0,31.0
9,1.0,71.0,31.0
10,1.0,71.0,31.0
11,1.0,71.0,31.0
12,1.0,71.0,31.0
13,1.0,71.0,31.0
14,1.0,71.0,31.0
15,1.0,71.0,31.0
16,1.0,71.0,31.0
17,1.0,71.0,31.0
18,1.0,71.0,31.0
19,1.0,71.0,31.0
20,1.0,71.0,31.0
21,1.0,71.0,31.0
22,1.0,71.0,31.0
23,1.0,71.0,31.0
24,1.0,71.0,31.0
25,1.0,71.0,31.0
26,1.0,71.0,31.0
27,1.0,71.0,31.0
28,1.0,71.0,31.0
29,1.0,71.0,31.0
30,1.0,71.0,31.0
31,1.0,71.0,31.0
32,1.0,71.0,31.0
33,1.0,71.0,31.0
34,1.0,71.0,31.0
35,1.0,71.0,31.0
36,1.0,71.0,31.0
37,1.0,71.0,31.0
38,1.0,71.0,31.0
39,1.0,71.0,31.0
40,1.0,71.0,31.0
41,1.0,71.0,31.0
42,1.0,71.0,31.0
43,1.0,71.0,31.0
44,1.0,71.0,31.0
45,1.0,71.0,31.0
46,1.0,71.0,31.0
47,1.0,71.0,31.0
48,1.0,71.0,31.0
49,1.0,71.0,31.0
50,1.0,71.0,31.0
51,1.0,71.0,31.0
52,1.0,71.0,31.0
53,1.0,71.0,29.0
54,1.0,71.0,29.0
55,1.0,71.0,29.0
56,1.0,71.0,29.0
57,1.0,71.0,29.0
58,1.0,71.0,29.0
59,1.0,71.0,29.0
60,1.0,71.0,29.0
