fitness_values_waiting_time
196.0
78.0
57.0
57.0
57.0
51.0
51.0
45.0
45.0
45.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
33.0
31.0
31.0
31.0
31.0
31.0
31.0
31.0
31.0
31.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
